FromTime,TillTime,WordDuration,Diff,ResultWord,PauseToNextWord
3.730000019,4.179999828,0.4499998089999995, ** Gap ** ,@WORD-GAP,0.0
4.179999828,4.539999962,0.36000013399999986,,שלום,0.0
4.539999962,4.989999771,0.44999980900000036,,לכולם,0.0
,,,Punct,",",
4.989999771,5.320000172,0.3300004010000004, **Minor ,הגענו,0.0
,,,Punct,",",
5.320000172,5.679999828,0.3599996559999994,,לשיעור,0.0
5.679999828,6.25,0.5700001720000003,,השישי,0.0
,,,Punct,",",
6.25,6.789999962,0.5399999619999996,,העוסק,0.0
,,,Punct,",",
6.789999962,7.269999981,0.4800000190000002,,בעזרה,0.0
,,,Punct,",",
7.269999981,7.599999905,0.329999924,,שיתוף,0.0
,,,Punct,",",
7.599999905,7.869999886,0.2699999809999998,,פעולה,0.0
,,,Punct,",",
7.869999886,8.350000381,0.48000049499999964, ** Gap ** ,@WORD-GAP,0.1499996190000008
,,,Punct,",",
8.5,9.18999958,0.6899995800000003, **Minor ,וקונפליקטים,0.0
9.18999958,9.609999657,0.4200000769999992,,בארגון,0.0
9.609999657,10.32999992,0.7200002630000011, **Minor ,החינוכי,0.6000003899999999
,,,Punct,.,
10.93000031,11.56000042,0.6300001099999992,,אנחנו,0.0
,,,Punct,.,
11.56000042,11.89000034,0.32999992000000056,,נתחיל,0.0
11.89000034,12.22000027,0.3299999299999996,,בכך,0.0
12.22000027,12.64000034,0.4200000700000004,,שבכל,0.0
12.64000034,13.21000004,0.5699997000000003,,מסגרות,0.0
13.21000004,13.65999985,0.44999980999999956,,העבודה,0.0
,,,Punct,",",
13.65999985,14.07999992,0.4200000700000004,,שיתוף,0.0
,,,Punct,",",
14.07999992,14.5,0.42000007999999944,,פעולה,0.0
,,,Punct,",",
14.5,14.71000004,0.2100000400000006,,שהוא,0.0
,,,Punct,",",
14.71000004,15.18999958,0.47999953999999967,,בעצם,0.0
15.18999958,15.64000034,0.45000076,,חלוקה,0.0
15.64000034,16.03000069,0.3900003500000011,,הדדית,0.0
16.03000069,16.20999908,0.17999838999999795,,של,0.030000690000001384
16.23999977,16.69000053,0.4500007599999982,,דעות,0.4799995500000023
,,,Punct,",",
17.17000008,17.44000053,0.2700004499999977,,צריך,0.0
,,,Punct,",",
17.44000053,17.70999908,0.2699985500000004,,להיות,0.0
